,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,company_size,age_class
1143,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,Maybe,I don't know,Yes,No,Yes,1,Sometimes,Sometimes,40,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer,Always,3,4
1144,0,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,1,Maybe,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Very open,Maybe,No,I don't know,Maybe,Yes,Yes,1,Sometimes,Often,39,Male,United States of America,Texas,United States of America,Texas,Supervisor/Team Lead|Support|Back-end Developer|Front-end Developer,Always,3,3
1145,0,1.0,1.0,Yes,No,No,No,I don't know,1,Maybe,No,Maybe,Maybe,Yes,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Yes,Yes,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,37,Male,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead|Back-end Developer|Front-end Developer|Designer,Sometimes,3,3
1146,0,1.0,1.0,I don't know,I am not sure,No,Yes,I don't know,1,Maybe,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,United States of America,Virginia,United States of America,Virginia,Full track,Always,3,2
1147,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Maybe,Maybe,No,No,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Alabama,United States of America,Alabama,Back-end Developer,Always,3,4
1148,0,1.0,1.0,I don't know,No,No,No,Yes,1,Maybe,No,Maybe,Maybe,I don't know,No,0,No,No,Maybe,Maybe,Very open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Michigan,United States of America,Michigan,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes,3,2
1149,0,1.0,1.0,Yes,No,No,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,"No, I don't think it would","No, I don't think they would",Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,47,Female,United States of America,Michigan,United States of America,Michigan,Other,Sometimes,3,4
1150,0,1.0,1.0,I don't know,No,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat open,Maybe,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,33,Male,United States of America,Oklahoma,United States of America,Oklahoma,Dev Evangelist/Advocate|DevOps/SysAdmin|Back-end Developer,Always,4,3
1151,0,1.0,1.0,I don't know,No,No,I don't know,Yes,0,Maybe,Maybe,No,No,I don't know,No,1,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,32,Male,United States of America,Washington,United States of America,Washington,Back-end Developer,Always,3,3
1152,0,1.0,1.0,I don't know,No,No,No,I don't know,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Very open,Maybe,No,No,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Michigan,United States of America,Michigan,DevOps/SysAdmin|Support|Back-end Developer,Sometimes,3,2
1153,0,1.0,1.0,Yes,I am not sure,No,No,Yes,2,No,No,Maybe,Maybe,I don't know,No,1,Yes,Maybe,"No, I don't think it would",Maybe,Somewhat open,Maybe,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,36,Male,United States of America,Michigan,United States of America,Michigan,Back-end Developer,Sometimes,3,3
1154,0,1.0,1.0,I don't know,I am not sure,No,No,I don't know,4,Yes,No,No,No,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,Maybe,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,35,Female,United States of America,Oklahoma,United States of America,Oklahoma,Full track,Never,2,3
1155,0,1.0,1.0,Yes,No,No,I don't know,I don't know,1,Maybe,No,Maybe,Yes,Yes,No,1,No,No,Maybe,Maybe,Somewhat not open,Maybe,No,Yes,Maybe,No,No,0,Rarely,Sometimes,40,Male,United States of America,Alaska,United States of America,Alaska,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always,3,4
1156,0,1.0,1.0,Yes,I am not sure,No,No,I don't know,5,Maybe,No,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,No,Maybe,Yes,Yes,Yes,Yes,1,Often,Often,36,Male,United States of America,Delaware,United States of America,Delaware,Other,Always,3,3
1157,0,0.0,0.0,I don't know,No,I don't know,Yes,I don't know,0,Yes,Maybe,No,No,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Maybe,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,39,Female,United States of America,Oklahoma,United States of America,Oklahoma,Full track,Sometimes,6,3
1158,0,1.0,1.0,Yes,No,I don't know,Yes,Yes,2,No,No,Maybe,Yes,Yes,No,1,No,No,Maybe,"No, I don't think they would",Not open at all,Yes,Yes,No,No,Maybe,No,0,Never,Rarely,38,Male,United States of America,Alaska,United States of America,Alaska,Back-end Developer,Always,3,3
1159,0,1.0,1.0,I don't know,I am not sure,Yes,I don't know,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,Maybe,I don't know,Maybe,Maybe,Yes,1,Rarely,Sometimes,23,Male,United States of America,Oklahoma,United States of America,Oklahoma,DevOps/SysAdmin|Support|Back-end Developer,Sometimes,1,2
1160,0,0.0,0.0,No,No,No,No,No,3,Yes,Maybe,No,No,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Oklahoma,United States of America,Oklahoma,Supervisor/Team Lead|DevOps/SysAdmin|Support,Sometimes,5,2
1161,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,1,No,No,Maybe,Maybe,Yes,No,1,Yes,Yes,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,United States of America,Pennsylvania,United States of America,Michigan,Other|Supervisor/Team Lead|DevOps/SysAdmin|Support|Front-end Developer|Back-end Developer,Always,4,3
1162,0,0.0,0.0,Yes,Yes,No,I don't know,I don't know,5,Maybe,No,Maybe,Maybe,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Yes,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,34,Female,United States of America,Ohio,United States of America,Ohio,Supervisor/Team Lead,Sometimes,6,3
1163,0,1.0,1.0,No,I am not sure,No,No,I don't know,1,Maybe,Maybe,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,28,Male,Brazil,,Brazil,,Other,Never,6,2
1164,0,1.0,1.0,No,I am not sure,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,"Yes, it has","No, I don't think they would",Very open,Yes,No,Yes,Yes,Yes,Yes,1,Often,Often,38,Male,New Zealand,,New Zealand,,Dev Evangelist/Advocate,Sometimes,2,3
1165,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,5,Yes,Maybe,No,No,No,No,1,No,No,"Yes, I think it would",Maybe,Somewhat open,Maybe,Maybe,I don't know,Maybe,Maybe,No,1,Not applicable to me,Sometimes,25,Female,United States of America,North Carolina,United States of America,North Carolina,Full track,Never,3,2
1166,0,0.0,0.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,36,Female,United States of America,Michigan,United States of America,Michigan,Other,Sometimes,6,3
1167,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,I don't know,I don't know,5,Yes,Yes,No,No,No,Yes,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,57,Female,United States of America,Colorado,United States of America,Colorado,Other,Sometimes,6,5
1168,0,0.0,0.0,I don't know,No,No,No,I don't know,5,Maybe,No,No,No,No,No,1,No,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe,No,Yes,Yes,No,Yes,1,Never,Sometimes,46,Male,Ireland,,Ireland,,Executive Leadership,Sometimes,6,4
1169,0,1.0,1.0,Yes,Yes,No,Yes,I don't know,5,Yes,No,No,No,No,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,49,Male,United States of America,California,United States of America,California,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Never,6,4
1170,0,1.0,1.0,I don't know,No,No,I don't know,Yes,3,Maybe,No,No,Maybe,No,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Maybe,No,Yes,No,Yes,1,Sometimes,Sometimes,34,Male,United States of America,North Carolina,United States of America,North Carolina,Supervisor/Team Lead|Back-end Developer|DevOps/SysAdmin,Never,6,3
1171,0,1.0,1.0,I don't know,No,No,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,No,No,No,No,No,0,Not applicable to me,Not applicable to me,43,Male,United Kingdom,,United Kingdom,,Front-end Developer,Sometimes,3,4
1174,0,0.0,0.0,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,1,No,No,No,No,Yes,No,0,No,No,"No, I don't think it would",Maybe,Not open at all,No,Maybe,I don't know,No,Yes,No,1,Rarely,Often,24,Male,Sweden,,Sweden,,Back-end Developer|One-person shop,Sometimes,6,2
1175,0,0.0,0.0,Yes,Yes,No,No,I don't know,5,Maybe,Maybe,Maybe,Maybe,No,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Never,Sometimes,33,Male,United States of America,California,United States of America,California,Full track,Sometimes,6,3
1176,0,1.0,1.0,I don't know,No,No,No,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,Maybe,"No, I don't think it would","No, they do not",Somewhat open,No,Maybe,Yes,No,Maybe,No,0,Never,Rarely,28,Male,Finland,,Finland,,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,1,2
1177,0,1.0,1.0,Yes,I am not sure,No,Yes,Yes,2,Maybe,Maybe,Maybe,Yes,I don't know,No,0,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,Yes,No,Maybe,Yes,0,Rarely,Often,48,Male,Germany,,Germany,,Dev Evangelist/Advocate,Sometimes,6,4
1178,0,1.0,1.0,Yes,Yes,No,No,I don't know,5,Yes,Yes,Maybe,Maybe,Yes,No,1,Maybe,Maybe,Maybe,"Yes, they do",Somewhat open,Yes,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,33,Female,United States of America,Georgia,United States of America,Georgia,Back-end Developer,Always,3,3
1179,0,1.0,1.0,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,1,No,No,No,Maybe,Yes,No,0,Maybe,No,"Yes, I think it would",Maybe,Not open at all,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,Italy,,United States of America,New Jersey,Supervisor/Team Lead|Front-end Developer,Never,4,4
1181,0,1.0,1.0,No,No,No,No,I don't know,4,Yes,Maybe,No,No,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Yes,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,22,Female,United States of America,Texas,United States of America,Texas,Back-end Developer,Never,4,2
1182,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,Maybe,No,Maybe,No,I don't know,No,0,No,No,"Yes, I think it would",Maybe,Neutral,Yes,Yes,I don't know,Yes,Yes,Yes,1,Rarely,Often,23,Female,United States of America,Washington,United States of America,Washington,Designer|Front-end Developer|Back-end Developer|Supervisor/Team Lead,Sometimes,4,2
1183,0,0.0,0.0,No,I am not sure,No,No,I don't know,2,No,No,Yes,Maybe,Yes,No,0,Maybe,No,"No, I don't think it would","No, I don't think they would",Very open,Maybe,No,Yes,Yes,No,Yes,1,Rarely,Often,33,Male,Germany,,Germany,,Back-end Developer|One-person shop,Never,6,3
1184,0,1.0,1.0,I don't know,I am not sure,No,No,No,5,Yes,No,Maybe,No,No,No,0,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,Maybe,I don't know,Yes,Maybe,Yes,1,Sometimes,Sometimes,29,Male,Netherlands,,Netherlands,,Back-end Developer,Never,2,2
1185,0,1.0,1.0,Yes,No,No,I don't know,I don't know,3,No,No,Yes,Maybe,No,No,1,Maybe,Maybe,"No, it has not","No, they do not",Somewhat open,No,Maybe,No,No,Yes,Yes,1,Rarely,Often,32,Male,United States of America,Washington,United States of America,Washington,Dev Evangelist/Advocate,Always,6,3
1186,0,1.0,1.0,Yes,Yes,No,No,I don't know,4,Yes,No,No,No,No,No,1,No,No,"Yes, I think it would",Maybe,Very open,Maybe,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,43,Male,United States of America,Tennessee,United States of America,Tennessee,Full track,Sometimes,3,4
1187,0,0.0,0.0,Yes,No,Yes,Yes,I don't know,1,No,No,Yes,Yes,Yes,No,0,Maybe,Maybe,Maybe,"No, they do not",Somewhat open,No,Maybe,Yes,Yes,Yes,No,1,Rarely,Often,49,Male,United States of America,Minnesota,United States of America,Minnesota,DevOps/SysAdmin|Support,Sometimes,6,4
1188,0,0.0,0.0,No,No,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,44,Male,Italy,,Sweden,,Back-end Developer,Always,6,4
1190,0,1.0,1.0,No,No,No,No,I don't know,4,Yes,Maybe,No,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Canada,,Canada,,Full track,Never,3,2
1191,0,0.0,0.0,I don't know,I am not sure,No,No,I don't know,5,Yes,No,Maybe,Maybe,No,No,1,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,No,No,No,Maybe,No,0,Not applicable to me,Sometimes,30,Male,United States of America,North Dakota,United States of America,North Dakota,Support|Back-end Developer|Front-end Developer,Never,2,3
1192,0,1.0,1.0,No,I am not sure,No,No,I don't know,5,No,Maybe,Maybe,Yes,I don't know,No,1,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe,Yes,Yes,No,No,No,0,Not applicable to me,Not applicable to me,43,Female,United States of America,California,United States of America,California,Other,Sometimes,1,4
1193,0,1.0,1.0,Yes,Yes,No,No,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Yes,Yes,No,Yes,Yes,Yes,1,Never,Often,30,Female,United States of America,Minnesota,United States of America,Minnesota,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,3,3
1194,0,0.0,0.0,Yes,No,No,Yes,I don't know,4,Maybe,Maybe,Maybe,Yes,I don't know,No,1,Maybe,No,Maybe,"Yes, I think they would",Somewhat not open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,33,Female,United States of America,Ohio,United States of America,Ohio,Other|Back-end Developer|Front-end Developer|Designer,Sometimes,3,3
1196,0,1.0,1.0,I don't know,No,Yes,No,Yes,4,Yes,Yes,No,No,No,Yes,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,No,1,Sometimes,Often,26,Female,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer,Never,2,2
1197,0,0.0,0.0,I don't know,Yes,Yes,Yes,I don't know,4,Yes,Maybe,No,Yes,Yes,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Maybe,Yes,Yes,No,Yes,1,Rarely,Often,47,Male,Ireland,,Ireland,,One-person shop|Front-end Developer|Back-end Developer,Sometimes,4,4
1198,0,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,3,Maybe,No,No,No,No,No,1,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe,Maybe,I don't know,Yes,Yes,No,0,Not applicable to me,Sometimes,30,Male,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer|Designer,Never,2,3
1199,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat not open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Oregon,United States of America,Oregon,DevOps/SysAdmin,Never,2,3
1200,0,1.0,1.0,I don't know,I am not sure,No,No,I don't know,2,Maybe,Maybe,Maybe,No,No,No,1,Maybe,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe,Yes,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,36,Male,United States of America,California,United States of America,California,Front-end Developer,Never,4,3
1201,0,1.0,1.0,No,No,No,No,I don't know,1,No,No,Maybe,Maybe,Yes,No,1,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,Yes,Yes,No,No,1,Not applicable to me,Not applicable to me,34,Male,United Kingdom,,United Kingdom,,Supervisor/Team Lead,Always,2,3
1202,0,1.0,1.0,Yes,No,No,I don't know,I don't know,5,Maybe,No,No,No,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,25,Female,United States of America,Minnesota,United States of America,Minnesota,Front-end Developer,Never,3,2
1203,0,0.0,0.0,I don't know,No,Yes,Yes,I don't know,4,Maybe,No,Maybe,No,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Finland,,Finland,,Back-end Developer|DevOps/SysAdmin,Sometimes,3,2
1204,0,1.0,1.0,Yes,Yes,I don't know,I don't know,No,2,No,No,Yes,Yes,Yes,No,1,No,No,Maybe,Maybe,Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,38,Male,United States of America,Indiana,United States of America,Indiana,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,6,3
1205,0,1.0,1.0,Yes,No,No,I don't know,Yes,2,No,No,Maybe,Yes,Yes,No,1,Yes,Maybe,"No, I don't think it would",Maybe,Somewhat open,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,Massachusetts,United States of America,Massachusetts,Supervisor/Team Lead,Always,4,3
1206,0,0.0,0.0,I don't know,I am not sure,No,No,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,32,Male,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Designer,Never,2,3
1207,0,0.0,0.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,Maybe,I don't know,No,1,Yes,No,"Yes, I think it would",Maybe,Very open,Maybe,Maybe,Yes,Yes,Yes,No,1,Never,Often,27,Female,United States of America,New York,United States of America,New York,Full track,Never,3,2
1208,0,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,"Yes, it has",Maybe,Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,31,Female,United States of America,Oregon,United States of America,Pennsylvania,Front-end Developer,Sometimes,5,3
1209,0,1.0,1.0,I don't know,No,No,No,I don't know,3,No,No,No,No,No,No,1,No,No,"Yes, I think it would",Maybe,Somewhat not open,Yes,Maybe,No,Yes,Maybe,No,0,Not applicable to me,Sometimes,30,Female,United Kingdom,,United Kingdom,,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Never,3,3
1211,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,No,"Yes, I think it would",Maybe,Very open,Maybe,Maybe,Yes,Maybe,Maybe,No,0,Not applicable to me,Often,26,Male,United States of America,Florida,United States of America,Illinois,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always,3,2
1212,0,1.0,1.0,Yes,I am not sure,I don't know,Yes,No,2,Maybe,Maybe,Maybe,No,I don't know,Yes,1,No,No,"Yes, it has",Maybe,Very open,Yes,Yes,No,Yes,No,Yes,1,Rarely,Sometimes,27,Female,United Kingdom,,United Kingdom,,Back-end Developer,Always,4,2
1213,0,1.0,1.0,I don't know,No,No,I don't know,I don't know,4,No,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Maybe,No,No,Yes,Yes,No,1,Rarely,Often,29,Male,United States of America,Minnesota,United States of America,Minnesota,Back-end Developer,Never,3,2
1216,0,0.0,0.0,I don't know,No,Yes,Yes,I don't know,2,Maybe,Maybe,No,No,Yes,No,1,No,No,"Yes, I think it would","Yes, I think they would",Neutral,No,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,39,Male,United States of America,New York,United States of America,New York,Front-end Developer,Sometimes,6,3
1218,0,1.0,1.0,Yes,Yes,No,I don't know,Yes,3,Maybe,Maybe,Maybe,No,No,No,1,No,No,"Yes, I think it would",Maybe,Somewhat open,Yes,Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,New York,United States of America,New York,Front-end Developer,Sometimes,5,2
1221,0,1.0,1.0,Yes,Yes,No,No,Yes,3,No,No,Yes,Yes,I don't know,No,1,Maybe,No,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,I don't know,Yes,Yes,Yes,1,Never,Not applicable to me,70,Male,United States of America,California,United States of America,California,Dev Evangelist/Advocate|Back-end Developer,Always,3,5
1222,0,1.0,1.0,No,I am not sure,No,No,I don't know,3,Maybe,No,No,Maybe,Yes,No,1,Yes,No,"Yes, I think it would",Maybe,Somewhat not open,No,Maybe,Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,25,Male,Germany,,Germany,,Back-end Developer,Sometimes,2,2
1223,0,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,3,No,Maybe,Yes,Yes,Yes,No,1,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,Maybe,No,Yes,Yes,Yes,1,Rarely,Often,45,Male,United Kingdom,,United Kingdom,,Back-end Developer,Sometimes,3,4
1224,0,0.0,0.0,Yes,Yes,I don't know,Yes,Yes,3,No,No,Yes,Yes,I don't know,No,1,No,No,"No, I don't think it would","No, I don't think they would",Very open,Maybe,Maybe,I don't know,Yes,Yes,Yes,1,Never,Rarely,63,Female,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer,Never,6,5
1225,0,1.0,1.0,Yes,Yes,Yes,Yes,Yes,4,No,No,Maybe,Maybe,I don't know,No,1,No,No,"No, it has not",Maybe,Somewhat open,No,Maybe,Yes,Maybe,Yes,No,1,Sometimes,Sometimes,40,Male,United States of America,Colorado,United States of America,Colorado,Full track,Always,3,4
1226,0,1.0,1.0,Yes,Yes,No,I don't know,I don't know,1,Maybe,No,Maybe,Maybe,Yes,No,1,No,No,"Yes, it has",Maybe,Very open,Maybe,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,39,Male,United States of America,Florida,United States of America,Florida,Back-end Developer,Sometimes,3,3
1227,0,1.0,1.0,Yes,No,No,No,I don't know,2,No,No,Maybe,Maybe,Yes,No,1,No,Maybe,Maybe,"No, I don't think they would",Somewhat open,Yes,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,31,Female,United States of America,Oregon,United States of America,Wisconsin,Front-end Developer|Designer,Always,2,3
1228,0,1.0,1.0,No,I am not sure,No,No,I don't know,5,Yes,Yes,No,No,No,No,1,No,No,"Yes, it has","Yes, I think they would",Not open at all,Yes,Yes,I don't know,Yes,Yes,No,0,Never,Sometimes,34,Male,United States of America,California,United States of America,California,Back-end Developer,Never,3,3
1230,0,1.0,1.0,Not eligible for coverage / N/A,No,Yes,No,I don't know,2,Maybe,Maybe,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat not open,No,Maybe,No,No,Maybe,No,0,Sometimes,Sometimes,45,Male,Ireland,,Ireland,,Back-end Developer,Always,5,4
1231,0,0.0,0.0,Yes,Yes,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,Yes,"No, I don't think it would","No, they do not",Very open,No,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,43,Male,United States of America,Alabama,United States of America,Alabama,Executive Leadership,Sometimes,4,4
1232,0,1.0,1.0,Yes,Yes,No,No,Yes,2,Maybe,No,Maybe,Yes,Yes,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,29,Male,United States of America,Tennessee,United States of America,Tennessee,Back-end Developer|Supervisor/Team Lead,Always,3,2
1233,0,1.0,1.0,Yes,Yes,No,No,Yes,2,Maybe,Maybe,Maybe,Yes,I don't know,No,1,Maybe,No,"Yes, it has","Yes, they do",Very open,Yes,Maybe,Yes,Yes,Yes,Yes,1,Never,Often,27,Genderqueer/Other,United States of America,Texas,United States of America,Texas,Dev Evangelist/Advocate,Always,4,2
